TSTNO,VIN,OCCLOC,PP_TTF_LAP,PP_force_LAP,PP_TTF_SHOULDER,PP_force_SHOULDER,LL_first,LL_second
942,1G4NJ69U8GM149153,01,0.0,0.0,0.0,0.0,6.36,0.0
942,1G4NJ69U8GM149153,02,0.0,0.0,0.0,0.0,0.0,0.0
943,1G3EZ57B4GU303169,01,0.0,0.0,0.0,0.0,0.0,0.0
943,1G3EZ57B4GU303169,02,0.0,0.0,0.0,0.0,0.0,0.0
944,1FABP29U4GA116625,01,0.0,0.0,0.0,0.0,0.0,0.0
944,1FABP29U4GA116625,02,12.4,0.92,0.0,0.0,0.0,0.0
945,1VWFA9174GV047789,01,0.0,0.0,0.0,0.0,0.0,0.0
945,1VWFA9174GV047789,02,0.0,0.0,0.0,0.0,0.0,0.0
946,JS4JC51V8G4106442,01,0.0,0.0,0.0,0.0,0.0,0.0
946,JS4JC51V8G4106442,02,0.0,0.0,0.0,0.0,0.0,0.0
947,2B4GB11H2GK552981,01,12.2,1.74,12.1,1.1,0.0,0.0
947,2B4GB11H2GK552981,02,0.0,0.0,12.1,1.04,0.0,0.0
948,JA3BF44D4GZ040758,01,0.0,0.0,0.0,0.0,0.0,0.0
948,JA3BF44D4GZ040758,02,0.0,0.0,0.0,0.0,0.0,0.0
949,1MEBP87U0GA615632,01,0.0,0.0,0.0,0.0,0.0,0.0
949,1MEBP87U0GA615632,02,0.0,0.0,0.0,0.0,0.0,0.0
950,KMHLF21J4GU022189,01,0.0,0.0,0.0,0.0,0.0,0.0
950,KMHLF21J4GU022189,02,0.0,0.0,0.0,0.0,0.0,0.0
951,1G1JC69PXGK125321,01,0.0,0.0,0.0,0.0,0.0,0.0
951,1G1JC69PXGK125321,02,0.0,0.0,0.0,0.0,0.0,0.0
952,JF1AC43B9GB210861,01,0.0,0.0,0.0,0.0,0.0,0.0
952,JF1AC43B9GB210861,02,0.0,0.0,0.0,0.0,0.0,0.0
953,JF1AX42B9GB307354,01,0.0,0.0,0.0,0.0,0.0,0.0
953,JF1AX42B9GB307354,02,0.0,0.0,0.0,0.0,0.0,0.0
977,1FTCA14A0HZA02258,01,0.0,0.0,0.0,0.0,0.0,0.0
977,1FTCA14A0HZA02258,02,0.0,0.0,0.0,0.0,0.0,0.0
978,1GNEG25K1H7111660,01,0.0,0.0,0.0,0.0,0.0,0.0
